ville,historic,building,amenity,tourism,name,name:ar,lat,lon,surface_m2
Tunis,,mosque,place_of_worship,,جامع مركز السلامي,جامع مركز السلامي,34.778943409825466,10.725775803809867,996.2667335839848
Tunis,,yes,place_of_worship,,جامع الهدى,جامع الهدى,34.77665521817371,10.727620427893012,621.9306331856692
Tunis,archaeological_site,,,attraction,آثار رومانية سبيطلة,آثار رومانية,35.241124762305965,9.118901593797952,352570.30173934525
Tunis,,mosque,place_of_worship,,الجامع الكبير,الجامع الكبير,34.735858077085865,10.760862643582573,2005.93117600374
Tunis,,,place_of_worship,,جامع الأمان,جامع الأمان,34.75171259896033,10.693021294380113,905.8466967439775
Tunis,,,place_of_worship,,جامع السماوي,جامع السماوي,34.77840081287639,10.699490222260588,303.3409163761647
Tunis,,mosque,place_of_worship,,جامع مركز شاكر,جامع مركز شاكر,34.74055559991039,10.738818828583913,1099.8621902537668
Tunis,,,place_of_worship,,الجامع الكبير بالعين مركز بن حليمة,الجامع الكبير بالعين مركز بن حليمة,34.76935544805584,10.707078502443593,616.6978609520061
Tunis,,temple,place_of_worship,,الكنيسة الأرثوذكسية اليونانية,الكنيسة الأرثوذكسية اليونانية,34.732847883609466,10.760740990764385,171.57952506496508
Tunis,,synagogue,place_of_worship,,معبد بيت إيل,معبد بيت إيل‎,34.732183157980934,10.758079473670843,1680.164570527147
Tunis,,,,museum,دار الجلولي,دار الجلولي,34.736838970497416,10.7623840641093,253.61023412426715
Tunis,monument,,,,ضريح سيدي عمر كمور,ضريح سيدي عمر كمور,34.735236220674594,10.763175409286049,405.8221346663202
Tunis,,,place_of_worship,,3 جامع حي البحري,3 جامع حي البحري,34.72808248692865,10.703319208059016,1089.1494881303233
Tunis,,,place_of_worship,,جامع الفلاح,جامع الفلاح,34.74756785874066,10.705555940470372,1611.805430918613
Tunis,,,place_of_worship,,جامع مركز دمق,جامع مركز دمق,34.75044643035945,10.716862251539526,2475.2688698414413
Tunis,,,place_of_worship,,إدمون عزريا,إدمون عزريا,34.73094293528611,10.763892858007198,135.32276065369072
Tunis,,,place_of_worship,,جامع الحمد,جامع الحمد,34.76133356314122,10.693629849280677,585.5673308790713
Tunis,monument,mosque,place_of_worship,attraction,ضريح الحبيب بورقيبة,ضريح الحبيب بورقيبة,35.777784543631356,10.828357224033983,1810.706642781974
Tunis,,,place_of_worship,,,,36.90450128370054,10.299097976586916,5333.9852845899195
Tunis,,,place_of_worship,,رعية القديس قبريانوس القرطاجي,رعية القديس قبريانوس القرطاجي,36.87594382273177,10.338657620995598,8547.476814384343
Tunis,,,place_of_worship,,جامع الغفران,جامع الغفران,36.87043479975671,10.344044544532988,3185.2318706803408
Tunis,archaeological_site,,,,صهاريج مالجا,صهاريج مالجا,36.85880506618591,10.318910800229451,35817.81275344635
